id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
731157846501234670,Peaceful garden setting with 3 bedrooms,159312,Ryan,,Bozeman,45.687737583589794,-111.02902829206545,Entire home/apt,,5,0,,,4,0,0,STR22-00071
733431858602294708,"Modern Three Bedroom, One Block From Downtown!",432049398,Holly,,Bozeman,45.68041,-111.03832,Entire home/apt,218,2,89,2024-08-18,3.85,1,326,46,STR22-00078
733544258624515986,"Modern, luxury comfort near hospital and downtown!",54268767,Melissa,,Bozeman,45.66926,-111.00779,Entire home/apt,225,28,8,2024-07-22,0.39,2,229,3,
735399457576581158,Grand Blue - Charming home within walking distance,158595657,Mountain Home,,Bozeman,45.68217,-111.041985,Entire home/apt,229,1,27,2024-06-09,1.25,39,177,12,STR22-00094
740807774712657109,Luxury Studio in desirable Bozeman neighborhood,92164178,Daryl,,Bozeman,45.68283,-111.10215,Entire home/apt,128,2,21,2024-08-29,0.99,1,170,12,Str23-00090
743730695395267111,Large Remodeled 5-bed close to MSU and Downtown,192384472,Rory,,Bozeman,45.6481763,-111.042898,Entire home/apt,225,180,0,,,1,364,0,
744109164283136186,Cheerful & convenient two-bed townhome w fire pit,34644364,Jean,,Bozeman,45.69155,-111.07119,Entire home/apt,100,30,7,2023-03-26,0.35,1,326,0,
744478255073405873,In Town Cabin next to MSU,87807117,Brandon,,Bozeman,45.655081992055486,-111.045586,Entire home/apt,297,2,123,2024-09-05,5.51,1,120,64,Str22-00087
744881302275777716,Cheerful Craftsman Walking Distance to Downtown!,87300632,Liz,,Bozeman,45.67493,-111.04772,Entire home/apt,119,30,0,,,19,216,0,
744893206921752588,"Grand Avenue Home, 2 Blocks from Downtown Bozeman",444342086,Rory,,Bozeman,45.6810906,-111.0402873,Entire home/apt,445,4,28,2024-08-20,1.25,2,307,9,STR23-00231
